2026-04-07 09:55:22 +08 LOG:  database system shutdown was interrupted; last known up at 2026-04-07 09:54:34 +08
2026-04-07 09:55:23 +08 FATAL:  the database system is starting up
2026-04-07 09:55:23 +08 LOG:  database system was not properly shut down; automatic recovery in progress
2026-04-07 09:55:23 +08 LOG:  redo starts at 0/18C6ED0
2026-04-07 09:55:23 +08 LOG:  invalid record length at 0/18D28A0: expected at least 24, got 0
2026-04-07 09:55:23 +08 LOG:  redo done at 0/18D2828 system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2026-04-07 09:55:23 +08 LOG:  checkpoint starting: end-of-recovery immediate wait
2026-04-07 09:55:23 +08 LOG:  checkpoint complete: wrote 6 buffers (0.0%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.004 s, sync=0.006 s, total=0.022 s; sync files=6, longest=0.002 s, average=0.001 s; distance=46 kB, estimate=46 kB; lsn=0/18D28A0, redo lsn=0/18D28A0
2026-04-07 10:00:23 +08 LOG:  checkpoint starting: time
2026-04-07 10:00:27 +08 LOG:  checkpoint complete: wrote 30 buffers (0.2%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=3.352 s, sync=0.029 s, total=3.406 s; sync files=24, longest=0.003 s, average=0.002 s; distance=139 kB, estimate=139 kB; lsn=0/18F5538, redo lsn=0/18F54E0
2026-04-07 10:01:09 +08 FATAL:  terminating connection due to administrator command
2026-04-07 10:01:09 +08 LOG:  shutting down
2026-04-07 10:01:09 +08 LOG:  checkpoint starting: shutdown immediate
2026-04-07 10:01:09 +08 LOG:  checkpoint complete: wrote 2 buffers (0.0%), wrote 0 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.009 s, sync=0.003 s, total=0.042 s; sync files=2, longest=0.002 s, average=0.002 s; distance=14 kB, estimate=126 kB; lsn=0/18F8F50, redo lsn=0/18F8F50
